"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"418","S8",8,"8","SLL",1
"419","S80",8,"3","SLL",0.375
"420","S81",4,"2","SLL",0.5
"421","S82",9,"1","SLL",0.111111111111111
"422","S83",4,"0","SLL",0
"423","S84",5,"3","SLL",0.6
"424","S85",6,"0","SLL",0
"425","S86",7,"0","SLL",0
"426","S87",2,"0","SLL",0
"427","S88",12,"12","SLL",1
"428","S89",13,"10","SLL",0.769230769230769
"429","S9",3,"2","SLL",0.666666666666667
"430","S90",5,"5","SLL",1
"431","S91",4,"4","SLL",1
"432","S92",4,"4","SLL",1
"433","S93",7,"3","SLL",0.428571428571429
"434","S94",2,"0","SLL",0
"435","S95",5,"4","SLL",0.8
"436","S96",6,"4","SLL",0.666666666666667
"437","S97",3,"1","SLL",0.333333333333333
"438","S98",9,"8","SLL",0.888888888888889
"439","S99",2,"0","SLL",0
"440","Y1",2,"0","SLL",0
"441","Y100",1,"1","SLL",1
"442","Y101",1,"1","SLL",1
"443","Y102",1,"1","SLL",1
"444","Y103",5,"3","SLL",0.6
"445","Y104",1,"0","SLL",0
"446","Y105",1,"1","SLL",1
"447","Y106",1,"1","SLL",1
"448","Y107",5,"5","SLL",1
"449","Y108",2,"1","SLL",0.5
"450","Y109",1,"1","SLL",1
"451","Y11",8,"2","SLL",0.25
"452","Y110",7,"2","SLL",0.285714285714286
"453","Y111",1,"0","SLL",0
"454","Y112",2,"0","SLL",0
"455","Y113",70,"29","SLL",0.414285714285714
"456","Y114",22,"9","SLL",0.409090909090909
"457","Y115",5,"4","SLL",0.8
"458","Y116",10,"1","SLL",0.1
"459","Y117",2,"0","SLL",0
"460","Y118",118,"39","SLL",0.330508474576271
"461","Y119",21,"4","SLL",0.19047619047619
"462","Y12",1,"0","SLL",0
"463","Y120",1,"0","SLL",0
"464","Y121",1,"0","SLL",0
"465","Y122",1,"0","SLL",0
"466","Y123",1,"0","SLL",0
"467","Y124",1,"0","SLL",0
"468","Y125",4,"0","SLL",0
"469","Y127",11,"2","SLL",0.181818181818182
"470","Y128",2,"1","SLL",0.5
"471","Y129",2,"0","SLL",0
"472","Y13",13,"7","SLL",0.538461538461538
"473","Y131",1,"0","SLL",0
"474","Y132",27,"11","SLL",0.407407407407407
"475","Y133",2,"0","SLL",0
"476","Y134",9,"8","SLL",0.888888888888889
"477","Y135",9,"7","SLL",0.777777777777778
"478","Y136",4,"0","SLL",0
"479","Y137",26,"22","SLL",0.846153846153846
"480","Y138",14,"14","SLL",1
"481","Y139",32,"8","SLL",0.25
"482","Y14",3,"1","SLL",0.333333333333333
"483","Y140",20,"2","SLL",0.1
"484","Y141",5,"3","SLL",0.6
"485","Y142",10,"0","SLL",0
"486","Y143",40,"28","SLL",0.7
"487","Y144",11,"0","SLL",0
"488","Y145",1,"0","SLL",0
"489","Y146",3,"1","SLL",0.333333333333333
"490","Y147",6,"2","SLL",0.333333333333333
"491","Y148",1,"0","SLL",0
"492","Y149",25,"12","SLL",0.48
"493","Y15",2,"0","SLL",0
"494","Y150",3,"1","SLL",0.333333333333333
"495","Y151",24,"3","SLL",0.125
"496","Y152",42,"16","SLL",0.380952380952381
"497","Y153",2,"1","SLL",0.5
"498","Y154",5,"2","SLL",0.4
"499","Y155",8,"7","SLL",0.875
"500","Y156",26,"3","SLL",0.115384615384615
"501","Y157",8,"8","SLL",1
"502","Y158",4,"2","SLL",0.5
"503","Y159",4,"1","SLL",0.25
"504","Y16",1,"0","SLL",0
"505","Y160",2,"1","SLL",0.5
"506","Y161",25,"5","SLL",0.2
"507","Y162",1,"0","SLL",0
"508","Y163",23,"20","SLL",0.869565217391304
"509","Y164",7,"0","SLL",0
"510","Y17",1,"1","SLL",1
"511","Y18",3,"0","SLL",0
"512","Y19",10,"2","SLL",0.2
"513","Y2",6,"0","SLL",0
"514","Y20",3,"2","SLL",0.666666666666667
"515","Y22",7,"1","SLL",0.142857142857143
"516","Y23",1,"0","SLL",0
"517","Y24",1,"1","SLL",1
"518","Y25",1,"0","SLL",0
"519","Y26",3,"0","SLL",0
"520","Y27",1,"0","SLL",0
"521","Y28",2,"1","SLL",0.5
"522","Y29",1,"0","SLL",0
"523","Y3",3,"1","SLL",0.333333333333333
"524","Y30",1,"1","SLL",1
"525","Y32",3,"3","SLL",1
"526","Y33",5,"5","SLL",1
"527","Y34",2,"1","SLL",0.5
"528","Y35",3,"1","SLL",0.333333333333333
"529","Y36",1,"1","SLL",1
"530","Y37",4,"0","SLL",0
"531","Y38",2,"0","SLL",0
"532","Y39",8,"8","SLL",1
"533","Y4",2,"2","SLL",1
"534","Y40",2,"0","SLL",0
"535","Y41",1,"0","SLL",0
"536","Y42",3,"0","SLL",0
"537","Y43",1,"0","SLL",0
"538","Y44",14,"1","SLL",0.0714285714285714
"539","Y45",2,"1","SLL",0.5
"540","Y46",2,"1","SLL",0.5
"541","Y47",1,"0","SLL",0
"542","Y48",4,"3","SLL",0.75
"543","Y49",3,"2","SLL",0.666666666666667
"544","Y5",4,"3","SLL",0.75
"545","Y50",1,"0","SLL",0
"546","Y51",1,"0","SLL",0
"547","Y52",1,"0","SLL",0
"548","Y53",1,"0","SLL",0
"549","Y54",2,"0","SLL",0
"550","Y55",1,"0","SLL",0
"551","Y56",2,"0","SLL",0
"552","Y57",1,"0","SLL",0
"553","Y59",1,"0","SLL",0
"554","Y6",1,"0","SLL",0
"555","Y62",1,"1","SLL",1
"556","Y63",3,"2","SLL",0.666666666666667
"557","Y64",1,"0","SLL",0
"558","Y65",2,"0","SLL",0
"559","Y66",1,"0","SLL",0
"560","Y67",16,"11","SLL",0.6875
"561","Y68",1,"1","SLL",1
"562","Y69",3,"0","SLL",0
"563","Y7",4,"2","SLL",0.5
"564","Y70",1,"0","SLL",0
"565","Y71",1,"0","SLL",0
"566","Y72",1,"0","SLL",0
"567","Y73",5,"1","SLL",0.2
"568","Y74",1,"0","SLL",0
"569","Y78",2,"2","SLL",1
"570","Y79",2,"0","SLL",0
"571","Y8",3,"3","SLL",1
"572","Y80",2,"0","SLL",0
"573","Y81",2,"1","SLL",0.5
"574","Y83",4,"0","SLL",0
"575","Y84",2,"0","SLL",0
"576","Y85",3,"0","SLL",0
"577","Y86",6,"1","SLL",0.166666666666667
"578","Y87",1,"1","SLL",1
"579","Y88",1,"1","SLL",1
"580","Y89",2,"0","SLL",0
"581","Y9",2,"1","SLL",0.5
"582","Y90",1,"0","SLL",0
"583","Y91",2,"0","SLL",0
"584","Y92",1,"0","SLL",0
"585","Y94",4,"3","SLL",0.75
"586","Y95",2,"0","SLL",0
"587","Y96",1,"0","SLL",0
"588","Y97",1,"0","SLL",0
"589","Y98",1,"1","SLL",1
"590","Y99",1,"0","SLL",0
