"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"484","Y141",3,1,0.333333333333333,"SLL"
"485","Y142",4,0,0,"SLL"
"486","Y143",8,6,0.75,"SLL"
"487","Y144",2,0,0,"SLL"
"488","Y145",1,0,0,"SLL"
"489","Y146",3,1,0.333333333333333,"SLL"
"490","Y147",6,2,0.333333333333333,"SLL"
"491","Y148",1,0,0,"SLL"
"492","Y149",10,2,0.2,"SLL"
"493","Y15",1,0,0,"SLL"
"494","Y150",3,1,0.333333333333333,"SLL"
"495","Y151",5,1,0.2,"SLL"
"496","Y152",16,7,0.4375,"SLL"
"497","Y153",2,1,0.5,"SLL"
"498","Y154",5,2,0.4,"SLL"
"499","Y155",3,2,0.666666666666667,"SLL"
"500","Y156",17,3,0.176470588235294,"SLL"
"501","Y157",1,1,1,"SLL"
"502","Y158",4,2,0.5,"SLL"
"503","Y159",3,1,0.333333333333333,"SLL"
"504","Y16",1,0,0,"SLL"
"505","Y160",2,1,0.5,"SLL"
"506","Y161",7,2,0.285714285714286,"SLL"
"507","Y162",1,0,0,"SLL"
"508","Y163",8,6,0.75,"SLL"
"509","Y164",4,0,0,"SLL"
"510","Y17",1,1,1,"SLL"
"511","Y18",3,0,0,"SLL"
"512","Y19",5,1,0.2,"SLL"
"513","Y2",3,0,0,"SLL"
"514","Y20",3,2,0.666666666666667,"SLL"
"515","Y22",2,1,0.5,"SLL"
"516","Y23",1,0,0,"SLL"
"517","Y24",1,1,1,"SLL"
"518","Y25",1,0,0,"SLL"
"519","Y26",2,0,0,"SLL"
"520","Y27",1,0,0,"SLL"
"521","Y28",2,1,0.5,"SLL"
"522","Y29",1,0,0,"SLL"
"523","Y3",2,1,0.5,"SLL"
"524","Y30",1,1,1,"SLL"
"525","Y32",1,1,1,"SLL"
"526","Y33",1,1,1,"SLL"
"527","Y34",2,1,0.5,"SLL"
"528","Y35",3,1,0.333333333333333,"SLL"
"529","Y36",1,1,1,"SLL"
"530","Y37",2,0,0,"SLL"
"531","Y38",1,0,0,"SLL"
"532","Y39",1,1,1,"SLL"
"533","Y4",2,2,1,"SLL"
"534","Y40",1,0,0,"SLL"
"535","Y41",1,0,0,"SLL"
"536","Y42",2,0,0,"SLL"
"537","Y43",1,0,0,"SLL"
"538","Y44",5,1,0.2,"SLL"
"539","Y45",2,1,0.5,"SLL"
"540","Y46",2,1,0.5,"SLL"
"541","Y47",1,0,0,"SLL"
"542","Y48",2,1,0.5,"SLL"
"543","Y49",2,1,0.5,"SLL"
"544","Y5",3,2,0.666666666666667,"SLL"
"545","Y50",1,0,0,"SLL"
"546","Y51",1,0,0,"SLL"
"547","Y52",1,0,0,"SLL"
"548","Y53",1,0,0,"SLL"
"549","Y54",1,0,0,"SLL"
"550","Y55",1,0,0,"SLL"
"551","Y56",2,0,0,"SLL"
"552","Y57",1,0,0,"SLL"
"553","Y59",1,0,0,"SLL"
"554","Y6",1,0,0,"SLL"
"555","Y62",1,1,1,"SLL"
"556","Y63",3,2,0.666666666666667,"SLL"
