"","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH","Native_SLL","Native_ETF"
"219","Public","Street","S","S19","QU","QURO","QUROFA","Quercus robur 'Fastigiata'",33,"N","N"
"220","Public","Parc","P","P2","QU","QURU","QURU","Quercus rubra",5,"Y","Y"
"221","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"222","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"223","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"224","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"225","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"226","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"227","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"228","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"229","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"230","Public","Street","S","S6","RO","ROPS","ROPS","Robinia pseudoacacia",5,"N","Y"
"231","Public","Street","S","S7","SY","SYRE","SYRE","Syringa reticulata",5,"N","N"
"232","Public","Street","S","S7","SY","SYRE","SYRE","Syringa reticulata",5,"N","N"
"233","Public","Street","S","S7","SY","SYRE","SYRE","Syringa reticulata",5,"N","N"
"234","Public","Street","S","S86","SY","SYRE","SYREIS","Syringa reticulata 'Ivory Silk'",10,"N","N"
"235","Public","Street","S","S86","SY","SYRE","SYREIS","Syringa reticulata 'Ivory Silk'",10,"N","N"
"236","Public","Street","S","S86","SY","SYRE","SYREIS","Syringa reticulata 'Ivory Silk'",10,"N","N"
"237","Public","Street","S","S14","TI","TIAM","TIAM","Tilia americana",42,"Y","Y"
"238","Public","Street","S","S14","TI","TIAM","TIAM","Tilia americana",42,"Y","Y"
"239","Public","Street","S","S14","TI","TIAM","TIAM","Tilia americana",42,"Y","Y"
"240","Public","Street","S","S4","TI","TICO","TICO","Tilia cordata",23,"N","N"
"241","Public","Street","S","S4","TI","TICO","TICO","Tilia cordata",23,"N","N"
"242","Public","Street","S","S4","TI","TICO","TICO","Tilia cordata",23,"N","N"
"243","Public","Street","S","S4","TI","TICO","TICO","Tilia cordata",23,"N","N"
"244","Public","Street","S","S4","TI","TICO","TICO","Tilia cordata",23,"N","N"
"245","Public","Street","S","S102","TI","TICO","TICOGL","Tilia cordata 'Glenleven'",31,"N","N"
"246","Public","Street","S","S102","TI","TICO","TICOGL","Tilia cordata 'Glenleven'",31,"N","N"
"247","Public","Street","S","S102","TI","TICO","TICOGL","Tilia cordata 'Glenleven'",31,"N","N"
"248","Public","Street","S","S102","TI","TICO","TICOGL","Tilia cordata 'Glenleven'",31,"N","N"
"249","Public","Street","S","S102","TI","TICO","TICOGL","Tilia cordata 'Glenleven'",31,"N","N"
"250","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","Y"
"251","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","Y"
"252","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","N"
"253","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","N"
"254","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","N"
"255","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","N"
"256","Public","Street","S","S2","TI","TICO","TICOGR","Tilia cordata 'Greenspire'",5,"N","N"
"257","Public","Street","S","S19","TI","TICO","TICOSH","Tilia cordata 'Sheridan'",15,"N","N"
"258","Public","Street","S","S19","TI","TICO","TICOSH","Tilia cordata 'Sheridan'",15,"N","N"
"259","Public","Street","S","S19","TI","TICO","TICOSH","Tilia cordata 'Sheridan'",15,"N","N"
"260","Public","Street","S","S19","TI","TICO","TICOSH","Tilia cordata 'Sheridan'",15,"N","N"
"261","Public","Street","S","S19","TI","TICO","TICOSH","Tilia cordata 'Sheridan'",15,"N","N"
"262","Public","Street","S","S34","UL","UL","UL","Ulmus",5,NA,NA
"263","Public","Street","S","S45","UL","ULAM","ULAM","Ulmus americana",57,"Y","Y"
"264","Public","Street","S","S16","UL","ULDA","ULDADI","Ulmus davidiana 'Discovery'",5,"N","N"
"265","Public","Street","S","S45","UL","ULPU","ULPU","Ulmus pumila",50,"N","N"
